pref_name	chembl_id	indication_class	mw_freebase	canonical_smiles
CAPIVASERTIB	CHEMBL2325741		428.92	NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1
OXICONAZOLE	CHEMBL1262	Antifungal	429.13	Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
OXICONAZOLE NITRATE	CHEMBL1200836	Antifungal	429.13	Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O
MELAGATRAN	CHEMBL266349		429.52	N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
MEBEVERINE HYDROCHLORIDE	CHEMBL1446650	Relaxant (smooth muscle)	429.56	CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1.Cl
MEBEVERINE	CHEMBL282121	Relaxant (smooth muscle)	429.56	CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
MIFEPRISTONE	CHEMBL1276308		429.60	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
CALCIUM GLUCONATE	CHEMBL2106119	Replenisher (calcium)	430.37	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
BICALUTAMIDE	CHEMBL409	Antineoplastic	430.38	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
INGENOL MEBUTATE	CHEMBL1863513		430.54	C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C
BUDESONIDE	CHEMBL1370	Anti-Inflammatory	430.54	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
TRANDOLAPRIL	CHEMBL1519		430.55	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
IOFLUPANE	CHEMBL1945778		431.29	COC(=O)[C@H]1[C@@H](c2ccc(I)cc2)C[C@@H]2CC[C@H]1N2CCCF
IOFLUPANE I 123	CHEMBL3989517		431.29	COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF
TIRBANIBULIN	CHEMBL571546		431.54	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1
BENZTHIAZIDE	CHEMBL1201039	Antihypertensive; Diuretic	431.95	NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O
PERFLUOROHEXYLOCTANE	CHEMBL5314588		432.26	CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MIZOLASTINE	CHEMBL94454		432.50	CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
HYDROCORTISONE BUTYRATE	CHEMBL1683	Glucocorticoid	432.56	CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
LATANOPROST	CHEMBL1051	Antiglaucoma Agent	432.60	CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
BUCLIZINE HYDROCHLORIDE	CHEMBL2360580		433.04	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1.Cl.Cl
BUCLIZINE	CHEMBL1201271	Antinauseant	433.04	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
MYCOPHENOLATE MOFETIL	CHEMBL1456	Immunomodulator	433.50	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
MYCOPHENOLATE MOFETIL HYDROCHLORIDE	CHEMBL1200955		433.50	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2.Cl
BREXPIPRAZOLE	CHEMBL2105760		433.58	O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1
ULIPRISTAL	CHEMBL2103846		433.59	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
OLAPARIB	CHEMBL521686		434.47	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
FLUNISOLIDE	CHEMBL1512	Glucocorticoid	434.50	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DEXAMETHASONE ACETATE	CHEMBL1530428		434.50	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
BETAMETHASONE ACETATE	CHEMBL1200538	Glucocorticoid	434.50	CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
TRIAMCINOLONE ACETONIDE	CHEMBL1504	Glucocorticoid	434.50	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
PARAMETHASONE ACETATE	CHEMBL1200342	Glucocorticoid	434.50	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
RIBOCICLIB SUCCINATE	CHEMBL3707266		434.55	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1.O=C(O)CCC(=O)O
RIBOCICLIB	CHEMBL3545110		434.55	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1
ETRAVIRINE	CHEMBL308954		435.29	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
AZTREONAM LYSINE	CHEMBL3833340		435.44	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O.NCCCC[C@H](N)C(=O)O
AZTREONAM	CHEMBL158	Antimicrobial	435.44	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
VALSARTAN	CHEMBL1069	Antihypertensive	435.53	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
CLOXACILLIN	CHEMBL891	Antibacterial	435.89	Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CLOXACILLIN SODIUM	CHEMBL1200388	Antibacterial	435.89	Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+]
RIVAROXABAN	CHEMBL198362		435.89	O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
LAROPIPRANT	CHEMBL426559		435.90	CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
FLURANDRENOLIDE	CHEMBL1201012	Glucocorticoid	436.52	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
ERTUGLIFLOZIN	CHEMBL1770248		436.89	CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1
ERTUGLIFLOZIN PIDOLATE	CHEMBL5315054		436.89	CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1.O=C1CC[C@@H](C(=O)O)N1
PICOSULFURIC ACID	CHEMBL1741134		437.45	O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1
SODIUM PICOSULFATE	CHEMBL1697768		437.45	O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+]
PAZOPANIB	CHEMBL477772		437.53	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
PAZOPANIB HYDROCHLORIDE	CHEMBL1201733		437.53	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl
FLUPHENAZINE	CHEMBL726	Antipsychotic	437.53	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
FLUPHENAZINE HYDROCHLORIDE	CHEMBL1448187		437.53	Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
SERTACONAZOLE	CHEMBL1201196		437.78	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
SERTACONAZOLE NITRATE	CHEMBL1200725		437.78	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O
TRIPARANOL	CHEMBL187709		438.01	CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
QUINAPRIL HYDROCHLORIDE	CHEMBL1201011	Enzyme Inhibitor (angiotensin-converting); Antihypertensive	438.52	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O.Cl
QUINAPRIL	CHEMBL1592	Enzyme Inhibitor (angiotensin-converting); Antihypertensive	438.52	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
REMIMAZOLAM	CHEMBL4297526		439.31	COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
REMIMAZOLAM BESYLATE	CHEMBL4594301		439.31	COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
AMDINOCILLIN PIVOXIL	CHEMBL1650818	Antibacterial	439.58	CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C
POLYTHIAZIDE	CHEMBL1587	Antihypertensive; Diuretic	439.89	CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
PREDNISOLONE SODIUM PHOSPHATE	CHEMBL1201014	Glucocorticoid	440.43	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
PREDNISOLONE PHOSPHORIC ACID	CHEMBL1201231	Glucocorticoid	440.43	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
IBRUTINIB	CHEMBL1873475		440.51	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
TIROFIBAN	CHEMBL916	Treatment of Unstable Angina	440.61	CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
TIROFIBAN HYDROCHLORIDE	CHEMBL3189072		440.61	CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl.O
DELAFLOXACIN	CHEMBL2105637		440.77	Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
DELAFLOXACIN MEGLUMINE	CHEMBL2105638		440.77	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
SERTINDOLE	CHEMBL12713	Antipsychotic; Neuroleptic	440.95	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
BINIMETINIB	CHEMBL3187723		441.23	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21
FOLIC ACID	CHEMBL1622	Vitamin (hematopoietic)	441.40	Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
ALPELISIB	CHEMBL2396661		441.48	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
DEFLAZACORT	CHEMBL1201891	Anti-Inflammatory	441.52	CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
VILAZODONE HYDROCHLORIDE	CHEMBL1615374		441.54	Cl.N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
VILAZODONE	CHEMBL439849		441.54	N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
TROGLITAZONE	CHEMBL408	Antidiabetic	441.55	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DOFETILIDE	CHEMBL473	Cardiac Depressant (anti-arrhythmic)	441.58	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
PIFLUFOLASTAT F18	CHEMBL4297334		442.40	O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc([18F])nc1)C(=O)O)C(=O)O
PIFLUFOLASTAT	CHEMBL4299851		442.40	O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(F)nc1)C(=O)O)C(=O)O
METHACYCLINE HYDROCHLORIDE	CHEMBL2146123	Antibacterial	442.42	C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl
METHACYCLINE	CHEMBL249837	Antibacterial	442.42	C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12
HYDROCORTISONE PHOSPHORIC ACID	CHEMBL1641	Glucocorticoid	442.45	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
HYDROCORTISONE SODIUM PHOSPHATE	CHEMBL1200968	Glucocorticoid	442.45	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
ELTROMBOPAG	CHEMBL461101		442.48	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O
ELTROMBOPAG OLAMINE	CHEMBL3989691		442.48	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O.NCCO.NCCO
SELINEXOR	CHEMBL3545185		443.31	O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
TRIACETYLDIPHENOLISATIN	CHEMBL1909288		443.46	CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
BEPHENIUM HYDROXYNAPHTHOATE	CHEMBL1673148		443.54	C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O
THIOTHIXENE HYDROCHLORIDE	CHEMBL3989824		443.64	CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl.Cl.O.O
THIOTHIXENE	CHEMBL1201	Antipsychotic	443.64	CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
RALTEGRAVIR	CHEMBL254316		444.42	Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
RALTEGRAVIR POTASSIUM	CHEMBL518520		444.42	Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c([O-])c(=O)n2C)o1.[K+]
DOXYCYCLINE HYCLATE	CHEMBL3989740		444.44	CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O
TETRACYCLINE	CHEMBL1440	Anti-Amebic; Antirickettsial; Antibacterial,Antibacterial,Antibacterial; Anti-Amebic; Antirickettsial	444.44	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DOXYCYCLINE	CHEMBL1200699	Antibacterial	444.44	C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
DOXYCYCLINE ANHYDROUS	CHEMBL1433	Antibacterial,Antibacterial; Antiprotozoal	444.44	C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
TETRACYCLINE PHOSPHATE COMPLEX	CHEMBL1201071	Antibacterial	444.44	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.O=P(O)(O)O
DOXYCYCLINE CALCIUM	CHEMBL2364574	Antibacterial; Antiprotozoal	444.44	C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.[Ca+2]
TETRACYCLINE HYDROCHLORIDE	CHEMBL454950	Anti-Amebic; Antirickettsial; Antibacterial	444.44	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
MITOXANTRONE HYDROCHLORIDE	CHEMBL1417019	Antineoplastic	444.49	Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
MITOXANTRONE	CHEMBL58	Antineoplastic	444.49	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
CANAGLIFLOZIN	CHEMBL4594217		444.52	Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O
CANAGLIFLOZIN ANHYDROUS	CHEMBL2048484		444.52	Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1
VIBEGRON	CHEMBL2107826		444.54	O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21
GLIPIZIDE	CHEMBL1073	Antidiabetic	445.55	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
THIOPROPAZATE HYDROCHLORIDE	CHEMBL3989786		446.02	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.Cl.Cl
THIOPROPAZATE	CHEMBL1697851		446.02	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
TRILACICLIB	CHEMBL3894860		446.56	CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
ERDAFITINIB	CHEMBL3545376		446.56	COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
TRILACICLIB DIHYDROCHLORIDE	CHEMBL4650272		446.56	CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1.Cl.Cl
HYDROCORTISONE VALERATE	CHEMBL1200562	Glucocorticoid	446.58	CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
GEFITINIB	CHEMBL939		446.91	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
PROPYLIODONE	CHEMBL1200821	Diagnostic Aid (radiopaque medium)	447.01	CCCOC(=O)Cn1cc(I)c(=O)c(I)c1
PALBOCICLIB	CHEMBL189963		447.54	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
ELVITEGRAVIR	CHEMBL204656		447.89	COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C
ARIPIPRAZOLE	CHEMBL1112	Antipsychotic; Antischizophrenic	448.39	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
TOLVAPTAN	CHEMBL344159		448.95	Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
BICTEGRAVIR	CHEMBL3989866		449.39	O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2
BICTEGRAVIR SODIUM	CHEMBL3989867		449.39	O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2.[Na+]
ONAPRISTONE	CHEMBL1908373		449.64	CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1
ASCIMINIB HYDROCHLORIDE	CHEMBL4297220		449.85	Cl.O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
ASCIMINIB	CHEMBL4208229		449.85	O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
TRIBROMSALAN	CHEMBL24944	Disinfectant	449.92	O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
TEDIZOLID PHOSPHATE	CHEMBL2105669		450.32	Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1
CRIZOTINIB	CHEMBL601719		450.35	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
LENIOLISIB PHOSPHATE	CHEMBL3989909		450.47	CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1.O=P(O)(O)O
LENIOLISIB	CHEMBL3643413		450.47	CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
MITAPIVAT SULFATE	CHEMBL4297223		450.56	O.O.O.O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1.O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1.O=S(=O)(O)O
MITAPIVAT	CHEMBL4299940		450.56	O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1
PHYTONADIONE	CHEMBL1550	Vitamin (prothrombogenic)	450.71	CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O
EMPAGLIFLOZIN	CHEMBL2107830		450.92	OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
DARIDOREXANT	CHEMBL4297590		450.93	COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1
DARIDOREXANT HYDROCHLORIDE	CHEMBL4650216		450.93	COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1.Cl
SUVOREXANT	CHEMBL1083659		450.93	Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
MAGNESIUM CITRATE	CHEMBL3989480		451.11	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Mg+2].[Mg+2].[Mg+2]
DOXAZOSIN MESYLATE	CHEMBL1200561	Antihypertensive	451.48	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
DOXAZOSIN	CHEMBL707	Antihypertensive	451.48	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
CABERGOLINE	CHEMBL1201087	Dopamine Agonist; Antidyskinetic; Antihyperprolactinemic	451.62	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
BETRIXABAN	CHEMBL512351		451.91	COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1
LUMACAFTOR	CHEMBL2103870		452.41	Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
